Dom i ogrod
ID: 1 	Name: Holiday modułowy 6 częściowy - ZIMOWA PROMOCJA 	 Old Price: 1735,71 zł	New Price: 1 475,00 zł	
ID: 2 	Name: DOZOWNIK DO DEZYNFEKCJI AUTOMATYCZNY.STOJAK. FULLL 	 Old Price: 495,00 zł	New Price: 435,00 zł	
ID: 3 	Name: POŚCIEL 3D 160x200 cm BAWEŁNA SATYNOWA + POSZEWKA 	 Old Price: 35,50 zł	New Price: 31,95 zł	
ID: 4 	Name: KOMPLET POŚCIELI BAWEŁNIANEJ 160x200 2x POSZEWKA 	 Old Price: 26,60 zł	New Price: 23,94 zł	
ID: 5 	Name: KOMPLET POŚCIELI BAWEŁNIANEJ 200x220 2x POSZEWKA 	 Old Price: 31,01 zł	New Price: 27,91 zł	
ID: 6 	Name: KOMPLET POŚCIEL 3D BAWEŁNA 160x200 + PRZEŚCIERADŁO 	 Old Price: 41,34 zł	New Price: 37,21 zł	
ID: 7 	Name: KOMPLET POŚCIELI BAWEŁNIANEJ 160x200 2x POSZEWKA 	 Old Price: 27,05 zł	New Price: 24,35 zł	
ID: 8 	Name: POŚCIEL FLANELOWA 200x220 cm 2x POSZEWKA FLANELA 	 Old Price: 65,55 zł	New Price: 58,99 zł	
ID: 9 	Name: POŚCIEL 3D 200x220 cm BAWEŁNA SATYNOWA + POSZEWKA 	 Old Price: 54,45 zł	New Price: 49,01 zł	
ID: 10 	Name: KOMPLET POŚCIELI Z KORY 160x200 2x PODUSZKA KORA 	 Old Price: 35,44 zł	New Price: 31,90 zł	
ID: 11 	Name: KOMPLET POŚCIELI 160x200cm BAWEŁNIANEJ 2x POSZEWKA 	 Old Price: 29,79 zł	New Price: 26,81 zł	
ID: 12 	Name: KOMPLET POŚCIELI 160x200 Z KORY PRZEŚCIERADŁO KORA 	 Old Price: 38,40 zł	New Price: 34,56 zł	
ID: 13 	Name: ROLETA NA WYMIAR GŁADKA KLASYCZNA KOLORY 37x150 	 Old Price: 25,00 zł	New Price: 16,95 zł	
ID: 14 	Name: KOMPLET POŚCIELI BAWEŁNIANEJ 200x220 2x POSZEWKA 	 Old Price: 25,95 zł	New Price: 23,35 zł	
ID: 15 	Name: POŚCIEL 100% BAWEŁNA 200X220 2 POSZEWKI 	 Old Price: 89,99 zł	New Price: 72,99 zł	
ID: 16 	Name: KOMPLET POŚCIELI 200x220 Z KORY + 2x POSZEWKA KORA 	 Old Price: 36,59 zł	New Price: 32,93 zł	
